File Processed: p.txt

Total Words Processed: 77258
Total Different Words: 5406

WORD                  FREQUENCY     FREQ %
analytic                 9           0.012
analytical               9           0.012
analyze                 13           0.017
analyzed                 4           0.005
analyzes                 3           0.004
analyzing                6           0.008
anatomic                 1           0.001
anatomical               4           0.005
anatomy                 18           0.023
ancient                  4           0.005
and                   4202           5.439
android                  5           0.006
anesthesia               2           0.003
anesthetics              1           0.001
angina                   1           0.001
angiography              1           0.001
angles                   1           0.001
animal                   5           0.006
animals                  4           0.005
animated                 3           0.004
animation                6           0.008
annulment                1           0.001
anomalies                2           0.003
anonymous                1           0.001
another                  2           0.003
answers                  1           0.001
ant                      5           0.006
antenna                  3           0.004
antennas                 2           0.003
anthropology             7           0.009
anticipate               1           0.001
anticipated              1           0.001
antiquity                1           0.001
any                     45           0.058
aom                      2           0.003
aorta                    1           0.001
aortic                   2           0.003
apa                      8           0.010
apartment                1           0.001
aperture                 1           0.001
api                      1           0.001
app                      5           0.006
appeal                   2           0.003
appear                   1           0.001
appearance               2           0.003
appellate                1           0.001
appendicular             1           0.001
appetizers               2           0.003
appliance                2           0.003
applicable               7           0.009
applicants               1           0.001
application             80           0.104
applications            91           0.118
applied                239           0.309
applies                  9           0.012
apply                   74           0.096
applying                 6           0.008
appointment              1           0.001
apportionment            1           0.001
appraisal                1           0.001
appreciation             8           0.010
approach                28           0.036
approaches               9           0.012
appropriate             56           0.072
approval               295           0.382
approved                27           0.035
approximations           1           0.001
apps                     4           0.005
aquatic                  1           0.001
arc                     17           0.022
archaeologists           1           0.001
archaeology              2           0.003
archie                   1           0.001
architect                1           0.001
architectonics           2           0.003
architects               1           0.001
architectural           15           0.019
architecture            33           0.043
architectures            2           0.003
archival                 1           0.001
are                    139           0.180
area                    12           0.016
areas                   65           0.084
arguments                1           0.001
arh                      8           0.010
arithmetic               4           0.005
arm                      4           0.005
arms                     2           0.003
army                     2           0.003
aromatic                 1           0.001
around                   2           0.003
arrangement              1           0.001
arrangements             2           0.003
arranging                2           0.003
array                    2           0.003
arrays                   5           0.006
arrest                   3           0.004
arrests                  2           0.003
arrival                  1           0.001
art                     99           0.128
arterial                 1           0.001
arteries                 1           0.001
artery                   5           0.006
article                  1           0.001
articles                 3           0.004
articulation             1           0.001
artifacts                2           0.003
artificial               2           0.003
artistic                 2           0.003
artists                  2           0.003
arts                    12           0.016
artwork                  1           0.001
as                     387           0.501
asepsis                  2           0.003
aseptic                  3           0.004
asian                    2           0.003
asl                     25           0.032
asme                     1           0.001
asp                      2           0.003
aspects                 27           0.035
assembled                1           0.001
assemblies               2           0.003
assembling               1           0.001
assembly                 5           0.006
assessing                1           0.001
assessment              56           0.072
assessments              1           0.001
assets                   3           0.004
assigned                16           0.021
assignment               6           0.008
assignments             38           0.049
assimilate               2           0.003
assimilation             1           0.001
assist                  46           0.060
assistance               2           0.003
assistant                5           0.006
assisted                 6           0.008
assists                  3           0.004
associate               23           0.030
associated               7           0.009
associations             1           0.001
assume                   1           0.001
assurance                7           0.009
assured                  1           0.001
assuring                 1           0.001
ast                      4           0.005
astronomical             3           0.004
astronomy                9           0.012
asynchronous             1           0.001
at                      45           0.058
athletic                 1           0.001
atm                      1           0.001
atmospheric              2           0.003
atomic                   2           0.003
attached                 1           0.001
attack                   2           0.003
attacks                  2           0.003
attain                   2           0.003
attempt                  4           0.005
attend                   1           0.001
attendance               1           0.001
attention               11           0.014
attenuation              3           0.004
attitude                 2           0.003
attitudes                3           0.004
attorney                 1           0.001
attract                  1           0.001
attractions              1           0.001
attractive               1           0.001
attributes               2           0.003
attribution              1           0.001
audience                 1           0.001
audio                   27           0.035
audiotape                2           0.003
audiovisual              2           0.003
audit                    3           0.004
audition                16           0.021
auditioning              3           0.004
aural                    1           0.001
auspices                 1           0.001
authentic                3           0.004
author                   1           0.001
authoring                7           0.009
authority                3           0.004
authors                  2           0.003
auto                     2           0.003
autocad                  3           0.004
autolisp                 1           0.001
automated                1           0.001
automobile               2           0.003
autopsy                  1           0.001
auxiliary               13           0.017
availability             2           0.003
available                8           0.010
average                  3           0.004
awards                   1           0.001
awareness               16           0.021
away                     2           0.003
axial                    2           0.003
axioms                   3           0.004
b                       74           0.096
baccalaureate            2           0.003
bachelor                 1           0.001
bachelorâ                1           0.001
back                     2           0.003
background              16           0.021
backgrounds              1           0.001
backhand                 2           0.003
backing                  1           0.001
backup                   1           0.001
backyard                 1           0.001
bacteria                 1           0.001
bad                      1           0.001
bagels                   1           0.001
bailments                1           0.001
bake                     1           0.001
bakeries                 1           0.001
bakery                   1           0.001
baking                  27           0.035
balance                  7           0.009
balances                 1           0.001
balancing                1           0.001
ball                     1           0.001
ballet                  15           0.019
balloon                  2           0.003
band                     8           0.010
bandaging                1           0.001
bandwidth                1           0.001
bank                     1           0.001
banking                  1           0.001
bankruptcy               3           0.004
banquet                  4           0.005
banquets                 3           0.004
bar                      1           0.001
baroque                  4           0.005
barre                    5           0.006
base                     3           0.004
based                  127           0.164
baselines                1           0.001
bases                    1           0.001
basic                  212           0.274
basics                  15           0.019
basis                    4           0.005
basketball               2           0.003
batters                  1           0.001
bcn                      9           0.012
bct                      3           0.004
be                     658           0.852
beam                     1           0.001
beams                    2           0.003
beamsteering             1           0.001
bearings                 1           0.001
beats                    2           0.003
because                  4           0.005
become                  15           0.019
becoming                 1           0.001
beds                     1           0.001
bedside                  1           0.001
been                     5           0.006
before                   5           0.006
begin                    2           0.003
beginner                 1           0.001
beginning               18           0.023
begins                   1           0.001
begun                    1           0.001
behavior                22           0.028
behavioral               3           0.004
behaviors                7           0.009
being                   19           0.025
beings                   1           0.001
belief                   1           0.001
beliefs                  2           0.003
belize                   1           0.001
below                    1           0.001
bending                  2           0.003
benefit                  2           0.003
benefits                 5           0.006
best                     4           0.005
better                  16           0.021
between                 12           0.016
beverage                 6           0.008
beverages                1           0.001
beyond                   2           0.003
bidding                  2           0.003
billing                  4           0.005
binary                   2           0.003
binding                  1           0.001
binocular                1           0.001
binomial                 2           0.003
biochemical              1           0.001
biochemistry             5           0.006
biodiesel                1           0.001
biodiversity             3           0.004
bioethical               2           0.003
biofilm                  1           0.001
biogeochemical           1           0.001
biogeography             1           0.001
biologic                 2           0.003
biological              25           0.032
biology                 48           0.062
biomolecules             1           0.001
biophotonics             2           0.003
biosensors               1           0.001
biostatistics            1           0.001
biosystems               1           0.001
bird                     5           0.006
birding                  3           0.004
birds                    6           0.008
birdwatching             1           0.001
birth                    1           0.001
birthday                 1           0.001
bit                      1           0.001
bite                     1           0.001
bitmapped                2           0.003
black                    4           0.005
blending                 2           0.003
blip                     1           0.001
block                    3           0.004
blocs                    1           0.001
blood                    4           0.005
bls                      3           0.004
blueprint                2           0.003
blueprints               1           0.001
blues                    1           0.001
board                    3           0.004
bodies                   2           0.003
body                    39           0.050
bomb                     1           0.001
bombs                    1           0.001
bond                     1           0.001
bonding                  3           0.004
boolean                  2           0.003
border                   2           0.003
bot                      5           0.006
botany                   3           0.004
both                    33           0.043
boundaries               1           0.001
boundary                 2           0.003
brain                    1           0.001
braising                 1           0.001
brass                    3           0.004
brc                      1           0.001
bread                    1           0.001
breads                   8           0.010
breakdown                1           0.001
breakfast                1           0.001
breast                   1           0.001
breath                   2           0.003
breathing                2           0.003
bridges                  1           0.001
brigade                  1           0.001
british                  3           0.004
broad                   10           0.013
broadband                1           0.001
broadcasting             1           0.001
broaden                  1           0.001
broadens                 2           0.003
broadway                 1           0.001
browser                  1           0.001
browsers                 2           0.003
brush                    1           0.001
bs                       1           0.001
bsc                     55           0.071
buddhism                 1           0.001
budding                  1           0.001
budget                   3           0.004
budgeting                7           0.009
buffet                   3           0.004
buffets                  1           0.001
build                    9           0.012
building                36           0.047
buildings                3           0.004
builds                   6           0.008
built                    1           0.001
bul                      7           0.009
burglary                 1           0.001
burning                  1           0.001
bus                      1           0.001
buses                    1           0.001
business               118           0.153
businesses               5           0.006
busing                   1           0.001
but                    226           0.293
butchery                 1           0.001
butter                   1           0.001
buying                   1           0.001
by                      76           0.098
c                     1246           1.613
cables                   2           0.003
cad                      2           0.003
cadd                     6           0.008
cakes                   16           0.021
calculate                1           0.001
calculation              2           0.003
calculations             6           0.008
calculator               2           0.003
calculators              2           0.003
calculus                19           0.025
calendar                 2           0.003
calibration              6           0.008
calisthenics             2           0.003
call                     1           0.001
calls                    1           0.001
camera                  16           0.021
campaign                 1           0.001
camps                    1           0.001
campus                   6           0.008
campuses                 1           0.001
cams                     1           0.001
can                      9           0.012
canapã                   1           0.001
candidate                1           0.001
candidates               1           0.001
cannot                 211           0.273
canoe                    1           0.001
cap                      3           0.004
capabilities             3           0.004
capability               1           0.001
capable                  3           0.004
capacities               2           0.003
capital                  2           0.003
capitalization           1           0.001
capstone                 8           0.010
capture                  2           0.003
carbon                   1           0.001
card                     2           0.003
cardiac                 23           0.030
cardiology               8           0.010
cardiomyopathies         1           0.001
cardiopulmonary         12           0.016
cardiovascular          36           0.047
care                   112           0.145
career                  88           0.114
careers                  6           0.008
caribbean                2           0.003
caring                   1           0.001
carotid                  1           0.001
carry                    3           0.004
carte                    1           0.001
carving                  1           0.001
cascading                1           0.001
case                    17           0.022
cases                    6           0.008
cash                     2           0.003
cast                     2           0.003
casual                   2           0.003
casualty                 2           0.003
catalog                  1           0.001
cataplexy                1           0.001
catching                 1           0.001
categories               2           0.003
catered                  1           0.001
catering                 1           0.001
catheterization         14           0.018
catheterizations         1           0.001
catheters                1           0.001
causal                   1           0.001
causation                1           0.001
cause                    4           0.005
caused                   1           0.001
causes                   4           0.005
cavities                 1           0.001
cavity                   3           0.004
ccj                     19           0.025
ccnp                     1           0.001
cd                       3           0.004
ceiling                  1           0.001
celebrated               1           0.001
cell                     5           0.006
cells                    2           0.003
cellular                 3           0.004
censorship               1           0.001
census                   1           0.001
center                   5           0.006
centered                 1           0.001
centerpieces             3           0.004
centers                  3           0.004
central                  7           0.009
centuries                2           0.003
century                 11           0.014
ceramics                 2           0.003
certain                  3           0.004
certificate              5           0.006
certification           31           0.040
certified               11           0.014
cet                    104           0.135
cgs                     13           0.017
chains                   1           0.001
chair                   61           0.079
challenges               8           0.010
change                   4           0.005
changed                  1           0.001
changes                  5           0.006
changing                 4           0.005
channel                  1           0.001
channeling               1           0.001
channels                 1           0.001
chaos                    1           0.001
character                6           0.008
characteristics         20           0.026
characterization         2           0.003
chart                    2           0.003
charter                  2           0.003
charting                 1           0.001
charts                   5           0.006
chassis                  1           0.001
checklists               2           0.003
chemical                11           0.014
chemically               1           0.001
chemistry               32           0.041
chemotherapeutics        1           0.001
chest                    5           0.006
chi                      2           0.003
child                    6           0.008
childbearing             3           0.004
childhood                3           0.004
childrearing             2           0.003
children                 6           0.008
childrenâ                1           0.001
china                    2           0.003
chinese                  1           0.001
chipping                 1           0.001
chips                    1           0.001
chm                     25           0.032
chocolate                4           0.005
chocolates               3           0.004
choice                   2           0.003
choices                  3           0.004
choir                    4           0.005
choral                   6           0.008
chorale                  1           0.001
chord                    1           0.001
choreographed            5           0.006
choreographic            4           0.005
choreography             4           0.005
chosen                   3           0.004
christian                1           0.001
christianity             2           0.003
chronic                  2           0.003
chronicles               1           0.001
cinema                   2           0.003
cinematography           1           0.001
circle                   1           0.001
circles                  1           0.001
circuit                 19           0.025
circuitry                2           0.003
circuits                23           0.030
circulating              1           0.001
circulation              2           0.003
circulatory              2           0.003
cis                     10           0.013
cisco                   13           0.017
cit                      1           0.001
cite                     2           0.003
citing                   1           0.001
citizen                  1           0.001
citizenship              1           0.001
citrus                   2           0.003
civic                    1           0.001
civically                1           0.001
civil                   20           0.026
civilization             6           0.008
civilizations            2           0.003
cjc                      2           0.003
cjd                      6           0.008
cje                      6           0.008
cjj                      1           0.001
cjk                     44           0.057
cjl                      2           0.003
cjt                      1           0.001
claims                   3           0.004
clarifying               1           0.001
clarity                  2           0.003
class                   99           0.128
classes                  8           0.010
classical               17           0.022
classics                 1           0.001
classification          12           0.016
classifications          4           0.005
classroom               31           0.040
clay                     1           0.001
clear                    1           0.001
client                  10           0.013
clients                  9           0.012
clientsâ                 1           0.001
climate                  1           0.001
climatology              1           0.001
clinic                   2           0.003
clinical               135           0.175
clinics                  1           0.001
clipboard                1           0.001
clock                   70           0.091
closed                   1           0.001
closely                  2           0.003
closing                  1           0.001
clp                      3           0.004
cls                    222           0.287
clustering               1           0.001
clutter                  1           0.001
cm                       3           0.004
cms                      1           0.001
co                       1           0.001
coaching                 1           0.001
coaxial                  1           0.001
code                    10           0.013
codes                   13           0.017
coding                  21           0.027
coercion                 1           0.001
coexist                  1           0.001
cognition                1           0.001
cognitive                1           0.001
coherence                1           0.001
coherent                 1           0.001
cold                     5           0.006
collaboration            2           0.003
collaborative            2           0.003
collaboratively          1           0.001
collecting               5           0.006
collection               6           0.008
collections              1           0.001
college                 78           0.101
collegeâ                 1           0.001
collision                1           0.001
colonial                 1           0.001
colonization             1           0.001
color                   18           0.023
columbian                1           0.001
columns                  3           0.004
com                      1           0.001
combination              7           0.009
combinations             5           0.006
combinatorial            1           0.001
combine                  3           0.004
combined                 9           0.012
combines                 1           0.001
comfort                  1           0.001
comics                   1           0.001
command                  7           0.009
commands                 6           0.008
commencement             1           0.001
commentary               1           0.001
commerce                 2           0.003
commercial              23           0.030
commercials              1           0.001
commission               3           0.004
commit                   1           0.001
common                  17           0.022
commonly                 6           0.008
communicate              7           0.009
communicated             1           0.001
communicating            1           0.001
communication           88           0.114
communicationjhonors     1           0.001
communications          34           0.044
communicative            4           0.005
communities              5           0.006
community               23           0.030
companies                2           0.003
companion                1           0.001
company                  8           0.010
comparable               1           0.001
comparative              1           0.001
compared                 1           0.001
compares                 2           0.003
comparing                3           0.004
comparison               3           0.004
comparisons              1           0.001
compatibility            1           0.001
compensation             7           0.009
competence              24           0.031
competencies            19           0.025
competency              17           0.022
competent                1           0.001
competently              1           0.001
competition              4           0.005
competitions             1           0.001
competitive              1           0.001
competitiveness          1           0.001
compile                  1           0.001
compiling                1           0.001
complement               3           0.004
complete                18           0.023
completed               13           0.017
completes                1           0.001
completing               4           0.005
completion             130           0.168
complex                 13           0.017
complexes                2           0.003
complexity               1           0.001
compliance               4           0.005
compliant                2           0.003
complications            4           0.005
component               22           0.028
components              22           0.028
composed                 1           0.001
composers                2           0.003
composition             37           0.048
compositional            1           0.001
compositions             1           0.001
compound                 1           0.001
compounds                1           0.001
comprehend               4           0.005
comprehension           14           0.018
comprehensive           24           0.031
compressed               1           0.001
compression              1           0.001
compromised              1           0.001
comptia                  4           0.005
comptiaâ                 2           0.003
computation              2           0.003
computational            4           0.005
computations             5           0.006
computed                 9           0.012
computer               169           0.219
computerization          1           0.001
computerized             7           0.009
computers               26           0.034
computing                3           0.004
con                      8           0.010
concentrates             1           0.001
concentration            7           0.009
concept                  6           0.008
conception               2           0.003
concepts               119           0.154
conceptual               4           0.005
conceptualization        2           0.003
conceptually             1           0.001
concern                  1           0.001
concerning               2           0.003
concerns                 8           0.010
concert                  1           0.001
conclusions              2           0.003
concrete                 1           0.001
concurrent               6           0.008
concurrently             3           0.004
condiments               1           0.001
condition                1           0.001
conditional              2           0.003
conditioning             6           0.008
conditions               8           0.010
condominiums             1           0.001
conduct                  3           0.004
conducted               12           0.016
conducting               5           0.006
confectionary            1           0.001
confections              3           0.004
conference               1           0.001
confidence               4           0.005
configuration            3           0.004
configurations           4           0.005
configure                6           0.008
configuring              3           0.004
confirming              38           0.049
conflagrations           1           0.001
conflict                 4           0.005
confronting              2           0.003
congenital               1           0.001
congruence               1           0.001
conic                    3           0.004
conjunction              2           0.003
connect                  2           0.003
connected                1           0.001
connecting               1           0.001
connection               3           0.004
connections              6           0.008
connectivity             2           0.003
connectors               1           0.001
conscious                1           0.001
consciousness            2           0.003
consent                  2           0.003
consequences             2           0.003
conservation             3           0.004
conserving               1           0.001
considerable             1           0.001
consideration            6           0.008
considerations           9           0.012
considered               8           0.010
considering              1           0.001
considers                2           0.003
consist                  1           0.001
consistency              2           0.003
consistent               1           0.001
consisting               1           0.001
consists                 4           0.005
console                  1           0.001
constitute               1           0.001
constitution             2           0.003
constitutional           3           0.004
constitutionalism        1           0.001
constraints              1           0.001
construct                4           0.005
constructing             3           0.004
construction            40           0.052
consult                  1           0.001
consumer                 5           0.006
consumerism              1           0.001
consumers                1           0.001
consumption              3           0.004
contact                  4           0.005
contained                2           0.003
containing               1           0.001
contemporary            32           0.041
content                 68           0.088
contents                 1           0.001
context                  7           0.009
contexts                 3           0.004
continental              2           0.003
continents               1           0.001
continually              1           0.001
continuation            55           0.071
continue                10           0.013
continued                4           0.005
continues                4           0.005
continuing               1           0.001
continuity               1           0.001
continuous               1           0.001
contract                 1           0.001
contractor               1           0.001
contracts                9           0.012
contraindications        1           0.001
contrast                 2           0.003
contrasting              1           0.001
contrasts                1           0.001
contribute               1           0.001
contribution             2           0.003
contributions            1           0.001
control                 56           0.072
controllers              3           0.004
controlling              6           0.008
controls                 2           0.003
controversial            1           0.001
controversies            1           0.001
convention               3           0.004
conventional             2           0.003
conventions              7           0.009
conversation             2           0.003
conversational          19           0.025
conversion               5           0.006
converters               1           0.001
converts                 1           0.001
convey                   1           0.001
conveyance               1           0.001
